변전소명,회선명,전산화번호,선로명,선로번호,위도,경도,인근주소(참고자료),철거예정전주,구역(4등분)
신광명,서학,9320Y312,서학간,1,37.45361419,126.8445275,광명시 노온사동 산35-4 M,,3구역
신광명,서학,9319E441,서학간,10,37.45046068,126.8450865,광명시 노온사동 197-13 W,,3구역
신광명,서학,9318Z063,서학간,100,37.41992721,126.8485951,광명시 가학동 422-5 W,,3구역
신광명,서학,9318Y961,서학간,100R1,37.41987800,126.8482093,광명시 가학동 441-2 W,,3구역
신광명,서학,9318Y451,서학간,100R10,37.41967004,126.8451133,광명시 가학동 448-1 S,,3구역
신광명,서학,9318Y461,서학간,100R11,37.42010123,126.8450235,광명시 가학동 446-1 RI,,3구역
신광명,서학,9318Y481,서학간,100R12,37.42064568,126.8449268,광명시 가학동 405-3 R,,3구역
신광명,서학,9318Y381,서학간,100R13,37.42105325,126.8449666,광명시 가학동 402-1 F,,3구역
신광명,서학,9318Y851,서학간,100R2,37.41968291,126.8477105,광명시 가학동 414-4 W,,3구역
신광명,서학,9318Y751,서학간,100R3,37.41950835,126.8471284,광명시 가학동 410-2 W,,3구역
신광명,서학,9318Y852,서학간,100R3H1,37.41962717,126.8474838,광명시 가학동 443-3 F,,3구역
신광명,서학,9318Y741,서학간,100R4,37.41921871,126.8467466,광명시 가학동 410-3 W,,3구역
신광명,서학,9318Y731,서학간,100R4L1,37.41883380,126.8468079,광명시 가학동 461 HY,,3구역
신광명,서학,9318Y732,서학간,100R4L2,37.41835939,126.8468608,광명시 가학동 460-1 F,,3구역
신광명,서학,9318Y721,서학간,100R4L3,37.41794750,126.8469791,광명시 가학동 460-2 F,,3구역
신광명,서학,9318Y711,서학간,100R4L4,37.41757837,126.8470470,광명시 가학동 466 F,,3구역
신광명,서학,9318Y651,서학간,100R5,37.41943691,126.8463093,광명시 가학동 410-1 F,,3구역
신광명,서학,9318Y543,서학간,100R6,37.41923145,126.8459654,광명시 가학동 448-2 W,,3구역
신광명,서학,9318Y542,서학간,100R7,37.41913734,126.8457415,광명시 가학동 448-2 W,,3구역
시흥,서벌,9318Y443,서학간,100R8,37.41894561,126.8452653,광명시 가학동 235 RI,,3구역
시흥,서벌,9318Y431,서학간,100R8L1,37.41879838,126.8452984,광명시 가학동 235 RI,,3구역
신광명,서학,9318Y531,서학간,100R8L2,37.41841907,126.8453763,광명시 가학동 235 RI,,3구역
신광명,서학,9318Y521,서학간,100R8L3,37.41802182,126.8454553,광명시 가학동 235-2 S,,3구역
신광명,서학,9318Y512,서학간,100R8L4,37.41769340,126.8454999,광명시 가학동 241-1 R,,3구역
신광명,서학,9318Y501,서학간,100R8L5,37.41734228,126.8455897,광명시 가학동 241-1 R,,3구역
신광명,서학,9317E591,서학간,100R8L6,37.41700596,126.8456728,광명시 가학동 572-1 W,,3구역
신광명,서학,9317E593,서학간,100R8L7,37.41662654,126.8457469,광명시 가학동 572-3 RI,,3구역
신광명,서학,9317E582,서학간,100R8L8,37.41625097,126.8458184,광명시 가학동 567-5 R,,3구역
신광명,서학,9318Y442,서학간,100R9,37.41922021,126.8452094,광명시 가학동 448-1 S,,3구역
신광명,서학,9318Z051,서학간,101,37.41969514,126.8486585,광명시 가학동 439-1 W,,3구역
신광명,서학,9318Z041,서학간,102,37.41930152,126.8487525,광명시 가학동 437-3 W,,3구역
신광명,서학,9318Z042,서학간,103,37.41891078,126.8488444,광명시 가학동 437 HY,,3구역
신광명,서학,9318Z131,서학간,104,37.41855347,126.8489311,광명시 가학동 483-13 W,,3구역
신광명,서학,9318Z121,서학간,105,37.41819876,126.8490207,광명시 가학동 483-14 F,,3구역
신광명,서학,9318Z111,서학간,106,37.41781848,126.8491117,광명시 가학동 472-1 W,,3구역
신광명,서학,9318Z101,서학간,107,37.41746791,126.8491962,광명시 가학동 483-20 W,,3구역
신광명,서학,9318Z102,서학간,108,37.41713200,126.8492617,광명시 가학동 1095-13 S,,3구역
시흥,태양,9317F191,서학간,108R1,37.41673599,126.8493346,광명시 가학동 570-3 F,,3구역
시흥,태양,9317F311,서학간,108R10,37.41334638,126.8503371,광명시 가학동 642-2 F,철거,3구역
시흥,태양,9317F312,서학간,108R11,37.41299790,126.8505076,광명시 가학동 644-2 W,철거,3구역
시흥,태양,9317F301,서학간,108R11R1,37.41295191,126.8503982,광명시 가학동 644-2 W,철거,3구역
시흥,태양,9317E811,서학간,108R11R10,37.41344913,126.8475302,광명시 가학동 595-1 RI,,3구역
시흥,태양,9317F313,서학간,108R11R2,37.41324483,126.8501398,광명시 가학동 644 F,철거,3구역
시흥,태양,9317F223,서학간,108R11R3,37.41353799,126.8499002,광명시 가학동 642-1 F,철거,3구역
시흥,태양,9317F232,서학간,108R11R4,37.41396493,126.8495912,광명시 가학동 629 F,철거,3구역
시흥,태양,9317F132,서학간,108R11R5,37.41427990,126.8493647,광명시 가학동 622-2 S,,3구역
시흥,태양,9317F131,서학간,108R11R6,37.41410807,126.8489928,광명시 가학동 622-2 S,,3구역
시흥,태양,9317F031,서학간,108R11R7,37.41395134,126.8486413,광명시 가학동 595-3 W,,3구역
시흥,태양,9317F021,서학간,108R11R8,37.41380192,126.8483150,광명시 가학동 595-3 W,,3구역
시흥,태양,9317E921,서학간,108R11R9,37.41363738,126.8479532,광명시 가학동 595-3 W,,3구역
시흥,태양,9317F401,서학간,108R12,37.41265814,126.8506649,광명시 가학동 620-3 W,철거,3구역
시흥,태양,9317H391,서학간,108R12R1,37.41242263,126.8502094,광명시 가학동 622-4 W,철거,3구역
광명,가리,9418W853,가리간,80R37,37.42414658,126.8698046,광명시 가학동 1-1 F,,4구역
광명,가리,9418W751,가리간,80R38,37.42394166,126.8693727,광명시 가학동 1-1 F,,4구역
시흥,태양,9317H291,서학간,108R12R2,37.41223343,126.8497664,광명시 가학동 622-4 W,철거,3구역
시흥,태양,9317H181,서학간,108R12R3,37.41204726,126.8493597,광명시 가학동 595-5 S,철거,3구역
시흥,태양,9317H182,서학간,108R12R4,37.41188827,126.8490276,광명시 가학동 595-4 W,철거,3구역
시흥,태양,9317H491,서학간,108R13,37.41228797,126.8508436,광명시 가학동 623 R,철거,3구역
시흥,태양,9317H482,서학간,108R14,37.41188848,126.8510668,광명시 가학동 623-1 W,철거,3구역
시흥,태양,9317H574,서학간,108R15,37.41152562,126.8512486,광명시 가학동 651-1 W,철거,3구역
시흥,태양,9317H575,서학간,108R16,37.41114070,126.8514242,광명시 가학동 651-2 W,철거,3구역
시흥,태양,9317H561,서학간,108R17,37.41084280,126.8515399,광명시 가학동 652-7 R,철거,3구역
시흥,태양,9317H663,서학간,108R17L1,37.41093893,126.8518170,광명시 가학동 654-1 W,철거,3구역
시흥,태양,9317X993,서학간,108R17L10,37.40780537,126.8533628,광명시 가학동 894-3 W,철거,3구역
시흥,태양,9317X982,서학간,108R17L11,37.40743786,126.8535145,광명시 가학동 894-6 W,철거,3구역
시흥,태양,9317X984,서학간,108R17L11L1,37.40749382,126.8537137,광명시 가학동 894-4 R,철거,3구역
시흥,태양,9317X991,서학간,108R17L11L2,37.40769748,126.8539168,광명시 가학동 909-6 BL,철거,3구역
시흥,태양,9417P092,서학간,108R17L11L3,37.40779310,126.8545120,광명시 가학동 911-8 W,철거,3구역
시흥,태양,9417C001,서학간,108R17L11L3L1,37.40821154,126.8543670,광명시 가학동 911-3 F,철거,3구역
시흥,태양,9417C011,서학간,108R17L11L3L2,37.40848017,126.8540385,광명시 가학동 908-8 W,철거,3구역
시흥,태양,9417P291,서학간,108R17L11L4,37.40784066,126.8551506,광명시 가학동 912-5 F,철거,3구역
시흥,태양,9417P391,서학간,108R17L11L5,37.40780742,126.8557345,광명시 가학동 922-7 W,철거,3구역
시흥,태양,9417P492,서학간,108R17L11L6,37.40792323,126.8564181,광명시 가학동 922-8 F,철거,3구역
시흥,태양,9317X983,서학간,108R17L12,37.40718669,126.8536284,광명시 가학동 892-4 W,철거,3구역
시흥,태양,9317X972,서학간,108R17L13,37.40683578,126.8537946,광명시 가학동 896-7 HY,철거,3구역
시흥,태양,9317X963,서학간,108R17L14,37.40643914,126.8539258,광명시 가학동 519-1 R,철거,3구역
시흥,태양,9417P052,서학간,108R17L15,37.40606025,126.8539836,광명시 가학동 528-7 S,철거,3구역
시흥,태양,9417P143,서학간,108R17L16,37.40568262,126.8542537,광명시 가학동 897,철거,3구역
시흥,태양,9417P141,서학간,108R17L17,37.40547591,126.8543882,광명시 가학동 993-2 W,철거,3구역
시흥,태양,9417P131,서학간,108R17L18,37.40508456,126.8546429,광명시 가학동 898-2 F,철거,3구역
시흥,태양,9417P221,서학간,108R17L19,37.40467348,126.8549038,광명시 가학동 992-4 W,철거,3구역
시흥,태양,9317H573,서학간,108R17L1A1,37.41129457,126.8516617,광명시 가학동 652-8 F,철거,3구역
시흥,태양,9317H581,서학간,108R17L1A2,37.41161926,126.8515114,광명시 가학동 622-5 S,,3구역
시흥,태양,9317H582,서학간,108R17L1A3,37.41196513,126.8513418,광명시 가학동 623-2 R,,3구역
시흥,태양,9317F403,서학간,108R17L1A4,37.41243560,126.8511060,광명시 가학동 688-3 F,,3구역
시흥,태양,9317F402,서학간,108R17L1A5,37.41284053,126.8509131,광명시 가학동 641-11 F,,3구역
시흥,태양,9317F411,서학간,108R17L1A6,37.41325810,126.8507103,광명시 가학동 640-2 W,,3구역
시흥,태양,9317H661,서학간,108R17L1L1,37.41101342,126.8519293,광명시 가학동 652-7 R,철거,3구역
시흥,태양,9417C373,서학간,108R17L1L10,37.41130788,126.8556852,광명시 가학동 731 F,철거,3구역
시흥,태양,9417C372,서학간,108R17L1L11,37.41142112,126.8561530,광명시 가학동 732-1 R,철거,3구역
시흥,태양,9417C571,서학간,108R17L1L11R1,37.41122122,126.8569288,광명시 가학동 875-2 R,,3구역
시흥,태양,9417C471,서학간,108R17L1L12,37.41151493,126.8562639,광명시 가학동 732-1 R,철거,3구역
시흥,태양,9417C482,서학간,108R17L1L13,37.41179411,126.8563097,광명시 가학동 742-1 R,철거,3구역
시흥,태양,9417C492,서학간,108R17L1L14,37.41213174,126.8564728,광명시 가학동 741-1 R,철거,3구역
시흥,태양,9417C491,서학간,108R17L1L15,37.41230641,126.8566000,광명시 가학동 743-5 R,철거,3구역
시흥,태양,9417C494,서학간,108R17L1L16,37.41245918,126.8565609,광명시 가학동 743-7 F,,3구역
시흥,태양,9417A403,서학간,108R17L1L17,37.41260830,126.8564179,광명시 가학동 739-1 F,철거,3구역
시흥,태양,9417A414,서학간,108R17L1L18,37.41299413,126.8564858,광명시 가학동 745-2 F,철거,3구역
시흥,태양,9417A415,서학간,108R17L1L19,37.41329917,126.8565674,광명시 가학동 745-6 F,철거,3구역
시흥,태양,9317H771,서학간,108R17L1L2,37.41120185,126.8523577,광명시 가학동 653-3 R,,3구역
시흥,태양,9417A422,서학간,108R17L1L20,37.41354222,126.8562581,광명시 가학동 737-4 BL,철거,3구역
시흥,태양,9417A331,서학간,108R17L1L21,37.41396631,126.8560901,광명시 가학동 747-1 F,철거,3구역
시흥,태양,9317H773,서학간,108R17L1L3,37.41133691,126.8527784,광명시 가학동 653-3 R,철거,3구역
시흥,태양,9317H872,서학간,108R17L1L4,37.41155925,126.8530309,광명시 가학동 656-4 R,철거,3구역
시흥,태양,9317H881,서학간,108R17L1L5,37.41180562,126.8532560,광명시 가학동 708-1 F,철거,3구역
시흥,태양,9317H891,서학간,108R17L1L5L1,37.41209858,126.8530540,광명시 가학동 711 F,,3구역
시흥,태양,9317H892,서학간,108R17L1L5L2,37.41237438,126.8529878,광명시 가학동 712 F,,3구역
시흥,태양,9317F801,서학간,108R17L1L5L3,37.41281495,126.8529032,광명시 가학동 704-2 F,,3구역
시흥,태양,9317H981,서학간,108R17L1L6,37.41171842,126.8538184,광명시 가학동 산231 M,철거,3구역
시흥,태양,9417C082,서학간,108R17L1L7,37.41160974,126.8545514,광명시 가학동 730-5 R,철거,3구역
시흥,태양,9417C161,서학간,108R17L1L8,37.41114443,126.8548252,광명시 가학동 730-2 R,철거,3구역
시흥,태양,9417C271,서학간,108R17L1L9,37.41122353,126.8552604,광명시 가학동 728 R,철거,3구역
시흥,태양,9317H651,서학간,108R17L2,37.41057750,126.8520005,광명시 가학동 659-5 F,,3구역
시흥,태양,9417P211,서학간,108R17L20,37.40425314,126.8551772,광명시 가학동 901-7 WS,철거,3구역
시흥,태양,9417P201,서학간,108R17L21,37.40393399,126.8553946,광명시 가학동 999-2 R,,3구역
시흥,태양,9417R391,서학간,108R17L22,37.40356401,126.8559531,광명시 가학동 999-7 WS,철거,3구역
시흥,태양,9417R491,서학간,108R17L23,37.40323499,126.8564155,광명시 가학동 1001 WS,철거,3구역
시흥,태양,9417R581,서학간,108R17L24,37.40288457,126.8568392,광명시 가학동 905-3 W,철거,3구역
시흥,태양,9417R571,서학간,108R17L25,37.40259573,126.8571517,광명시 가학동 1087-2 W,철거,3구역
시흥,태양,9417R672,서학간,108R17L26,37.40236753,126.8574753,광명시 가학동 1004-2 WS,철거,3구역
시흥,태양,9417R771,서학간,108R17L27,37.40218152,126.8579641,광명시 가학동 11-1 WS,철거,3구역
시흥,태양,9417R762,서학간,108R17L28,37.40205279,126.8584323,광명시 가학동 1005 WS,철거,3구역
시흥,태양,9417R862,서학간,108R17L29,37.40193256,126.8588942,광명시 가학동 10-3 WS,철거,3구역
시흥,태양,9317H643,서학간,108R17L3,37.41022276,126.8521641,광명시 가학동 655 S,철거,3구역
시흥,태양,9417R962,서학간,108R17L30,37.40183127,126.8593515,광명시 가학동 산141-3 WS,철거,3구역
시흥,태양,9417S062,서학간,108R17L31,37.40184268,126.8598074,광명시 가학동 산142-1 WS,철거,3구역
시흥,태양,9417S162,서학간,108R17L32,37.40185721,126.8602318,광명시 가학동 9-7 WS,철거,3구역
시흥,태양,9417S163,서학간,108R17L33,37.40184586,126.8605938,광명시 가학동 산143-4 WS,철거,3구역
시흥,태양,9417S451,서학간,108R17L35,37.40162027,126.8616414,광명시 가학동 1006-1 WS,,3구역
시흥,태양,9417S452,서학간,108R17L36,37.40157621,126.8620084,광명시 가학동 357-1 W,철거,3구역
시흥,태양,9417S553,서학간,108R17L37,37.40162358,126.8624225,광명시 가학동 8-3 WS,철거,3구역
시흥,태양,9417S554,서학간,108R17L38,37.40171779,126.8628234,광명시 가학동 1009-1 WS,철거,3구역
시흥,태양,9417S662,서학간,108R17L39,37.40192961,126.8630199,광명시 가학동 1010 F,철거,3구역
시흥,태양,9317H741,서학간,108R17L4,37.40985577,126.8523378,광명시 가학동 655 S,철거,3구역
시흥,태양,9417S664,서학간,108R17L40,37.40217094,126.8633998,광명시 가학동 1011 F,철거,3구역
시흥,태양,9417S771,서학간,108R17L41,37.40251652,126.8637043,광명시 가학동 1016 BL,철거,3구역
시흥,태양,9417S781,서학간,108R17L42,37.40283087,126.8637692,광명시 가학동 1016 BL,철거,3구역
시흥,태양,9417S791,서학간,108R17L43,37.40319896,126.8637909,광명시 가학동 1026-4 BL,철거,3구역
시흥,태양,9417S793,서학간,108R17L43R1,37.40325373,126.8640930,광명시 가학동 1026-2 F,철거,3구역
시흥,태양,9417S891,서학간,108R17L43R2,37.40313144,126.8645323,광명시 가학동 1026-3 F,철거,3구역
시흥,태양,9417S992,서학간,108R17L43R3,37.40307513,126.8650030,광명시 가학동 1027 F,철거,3구역
시흥,태양,9417S981,서학간,108R17L43R4,37.40288240,126.8651570,광명시 가학동 1013-11 F,철거,3구역
시흥,태양,9417S971,서학간,108R17L43R5,37.40254639,126.8652235,광명시 가학동 1045-1 F,철거,3구역
시흥,태양,9417Y071,서학간,108R17L43R6,37.40237458,126.8653869,광명시 가학동 1045-1 F,철거,3구역
시흥,태양,9417Y061,서학간,108R17L43R7,37.40212301,126.8655403,광명시 가학동 1045-6 F,철거,3구역
시흥,태양,9417Q701,서학간,108R17L44,37.40355790,126.8640075,광명시 가학동 1021-3 BL,철거,3구역
시흥,태양,9417Q801,서학간,108R17L45,37.40369096,126.8643726,광명시 가학동 1025 BL,철거,3구역
시흥,태양,9417Q902,서학간,108R17L46,37.40394605,126.8647769,광명시 가학동 1084 W,철거,3구역
시흥,태양,9417Q911,서학간,108R17L47,37.40432572,126.8650752,광명시 가학동 1028-3 F,철거,3구역
시흥,태양,9417Q923,서학간,108R17L48,37.40446340,126.8652241,광명시 가학동 1029-14 W,철거,3구역
시흥,태양,9417Q921,서학간,108R17L49,37.40474243,126.8651445,광명시 가학동 1029-8 BL,철거,3구역
시흥,태양,9317H731,서학간,108R17L5,37.40955576,126.8524880,광명시 가학동 668-5 F,철거,3구역
시흥,태양,9417W034,서학간,108R17L50,37.40501842,126.8652910,광명시 가학동 1029-5 M,철거,3구역
시흥,태양,9317H722,서학간,108R17L6,37.40923002,126.8526804,광명시 가학동 883-8 F,철거,3구역
시흥,태양,9317H821,서학간,108R17L6L1,37.40929993,126.8528366,광명시 가학동 679-1 W,철거,3구역
시흥,태양,9317H831,서학간,108R17L6L2,37.40947490,126.8532678,광명시 가학동 679-2 S,철거,3구역
시흥,태양,9317H931,서학간,108R17L6L3,37.40964639,126.8536419,광명시 가학동 724-3 R,철거,3구역
시흥,태양,9417C031,서학간,108R17L6L4,37.40982863,126.8540498,광명시 가학동 681-4 W,철거,3구역
시흥,태양,9317H812,서학간,108R17L7,37.40887760,126.8528205,광명시 가학동 883-7 F,철거,3구역
시흥,태양,9317H811,서학간,108R17L8,37.40848215,126.8530154,광명시 가학동 883-6 F,철거,3구역
시흥,태양,9317H911,서학간,108R17L8L1,37.40864772,126.8534279,광명시 가학동 892-1 S,철거,3구역
시흥,태양,9317H802,서학간,108R17L9,37.40814711,126.8531895,광명시 가학동 894-1 W,철거,3구역
시흥,태양,9317H652,서학간,108R18,37.41043802,126.8517550,광명시 가학동 661-3 W,철거,3구역
시흥,태양,9317H644,서학간,108R19,37.41006095,126.8519231,광명시 가학동 655 S,철거,3구역
시흥,태양,9317F181,서학간,108R2,37.41637347,126.8494029,광명시 가학동 570-6 W,,3구역
시흥,태양,9317H633,서학간,108R20,37.40971885,126.8520783,광명시 가학동 667-3 W,철거,3구역
시흥,태양,9317H622,서학간,108R21,37.40938218,126.8522428,광명시 가학동 667-3 W,철거,3구역
시흥,태양,9317H721,서학간,108R22,37.40907404,126.8523746,광명시 가학동 726-2 S,철거,3구역
시흥,태양,9317H712,서학간,108R23,37.40872426,126.8525556,광명시 가학동 729-4 W,철거,3구역
시흥,태양,9317H701,서학간,108R24,37.40835878,126.8527329,광명시 가학동 497-1 R,철거,3구역
시흥,태양,9317X891,서학간,108R25,37.40799129,126.8529002,광명시 가학동 518-4 W,철거,3구역
시흥,태양,9317X894,서학간,108R26,37.40763424,126.8530610,광명시 가학동 894-3 W,철거,3구역
시흥,태양,9317X881,서학간,108R27,37.40731279,126.8532464,광명시 가학동 892-4 W,철거,3구역
시흥,태양,9317X973,서학간,108R28,37.40692603,126.8534236,광명시 가학동 896-6 W,철거,3구역
시흥,태양,9317X964,서학간,108R29,37.40656773,126.8535226,광명시 가학동 519-5 R,철거,3구역
시흥,태양,9317F182,서학간,108R2R1,37.41628359,126.8490992,광명시 가학동 580-4 W,,3구역
시흥,태양,9317F081,서학간,108R2R2,37.41617717,126.8487296,광명시 가학동 572-9 W,,3구역
시흥,태양,9317E971,서학간,108R2R3,37.41596416,126.8482619,광명시 가학동 581-7 R,,3구역
시흥,태양,9317E972,서학간,108R2R4,37.41575627,126.8478047,광명시 가학동 576-5 R,,3구역
시흥,태양,9317E861,서학간,108R2R5,37.41557969,126.8474179,광명시 가학동 580-2 S,,3구역
시흥,태양,9317E761,서학간,108R2R6,37.41541058,126.8470516,광명시 가학동 575-2 R,,3구역
시흥,태양,9317F271,서학간,108R3,37.41588874,126.8494907,광명시 가학동 563-2 W,,3구역
시흥,태양,9317X965,서학간,108R30,37.40622189,126.8536517,광명시 가학동 519-6 R,철거,3구역
시흥,태양,9317X951,서학간,108R31,37.40586678,126.8536925,광명시 가학동 538-7 W,,3구역
시흥,태양,9317X941,서학간,108R32,37.40562616,126.8536332,광명시 가학동 540-1 BL,철거,3구역
